State_Name,Year,FY_Year,Month_Name,Month,Total_Revenue,Total_Volume_Liters,Total_Gallons
Wisconsin,2023.0,2024.0,September,9.0,7035911.36,59768850.5950717,15789267.370000001
Wisconsin,2023.0,2024.0,October,10.0,6280938.14,45902264.8570543,12126101.23
Wisconsin,2023.0,2024.0,November,11.0,6750342.29,52792018.58376271,13946182.470000003
Wisconsin,2023.0,2024.0,December,12.0,6416027.399999999,45617545.81171581,12050886.380000003
Wisconsin,2024.0,2024.0,January,1.0,5438598.51,41463673.2387162,10953548.82
Wisconsin,2024.0,2024.0,February,2.0,4632809.74,45274494.544629805,11960261.780000001
Wisconsin,2024.0,2024.0,March,3.0,5380126.119999999,51585927.110430606,13627566.66
Wisconsin,2024.0,2024.0,April,4.0,5610057.539999999,50383161.3847622,13309829.419999998
Wisconsin,2024.0,2024.0,May,5.0,7424709.720000001,61351225.1849011,16207286.71
Wisconsin,2024.0,2024.0,June,6.0,7584677.75,60562103.8910562,15998822.82
Wisconsin,2024.0,2025.0,July,7.0,7414529.09,62996782.620852,16641997.2
Wisconsin,2024.0,2025.0,August,8.0,6621706.73,52671547.0398684,13914357.24
Wisconsin,2024.0,2025.0,September,9.0,8082079.2700000005,65133464.298360504,17206449.05
Wisconsin,2024.0,2025.0,October,10.0,6716214.92,50738349.395536095,13403660.209999999
Wisconsin,2024.0,2025.0,November,11.0,7847720.800000001,48749262.4816539,12878198.79
Wisconsin,2024.0,2025.0,December,12.0,5974199.5,46394227.869759694,12256064.169999998
Wisconsin,2025.0,2025.0,January,1.0,6393729.73,43483236.829195306,11487061.330000002
Wisconsin,2025.0,2025.0,February,2.0,5334886.5600000005,45087499.341018505,11910862.850000001
Wisconsin,2025.0,2025.0,March,3.0,6586589.6,33791707.8784523,8926829.03
Wisconsin,2025.0,2025.0,April,4.0,5374504.29,47534488.7540917,12557289.370000001
Wisconsin,2025.0,2025.0,May,5.0,7337812.37,53967231.104977205,14256640.92
Wisconsin,2025.0,2025.0,June,6.0,7619259.15,62063671.030782804,16395495.08
Wisconsin,2025.0,2026.0,July,7.0,7388168.38,63017340.4633341,16647428.01
Wisconsin,2025.0,2026.0,August,8.0,8399739.41,59859412.176100194,15813191.219999999
Wisconsin,2025.0,2026.0,September,9.0,6787107.75,51510266.3037638,13607579.18
Wisconsin,2025.0,2026.0,October,10.0,7080087.869999999,47359231.0091215,12510991.15
